Citation,Year,Journal,Family,BinomialStudy,BinomialReptileDatabase,Sex,Age,SSM,SSBF,SC,BM,BM.SD,BM.SE,BM.MIN,BM.MAX,SVL,SVL.SD,SVL.SE,SVL.MIN,SVL.MAX,HL,HL.SD,HL.SE,HL.MIN,HL.MAX,HW,HW.SD,HW.SE,HW.MIN,HW.MAX,HH,HH.SD,HH.SE,HH.MIN,HH.MAX,BF,BF.SD,BF.SE,BF.MIN,BF.MAX,LJL,LJL.SD,LJL.SE,LJL.MIN,LJL.MAX,DataQuality,Notes
"Guilloux, et al., 2020",2020,Biol J Linn Soc,Scincidae,Acontias percivali,Acontias percivali,NA,A,12,12,NA,16.87,5.07,NA,NA,NA,246.83,12.48,NA,NA,NA,13.88,1.34,NA,NA,NA,8,0.75,NA,NA,NA,6.98,0.7,NA,NA,NA,10.08,3.06,NA,NA,NA,13.25,0.76,NA,NA,NA,Good,NA
"Guilloux, et al., 2020",2020,Biol J Linn Soc,Scincidae,Chalcides ocellatus,Chalcides ocellatus,NA,A,16,13,NA,10.28,6.88,NA,NA,NA,80.88,24.41,NA,NA,NA,11.85,2.76,NA,NA,NA,7.76,2.18,NA,NA,NA,6.53,1.95,NA,NA,NA,6.82,4.19,NA,NA,NA,12.96,3.04,NA,NA,NA,Good,NA
"Guilloux, et al., 2020",2020,Biol J Linn Soc,Scincidae,Chalcides sepsoides,Chalcides sepsoides,NA,A,17,17,NA,4.66,1.02,NA,NA,NA,83.41,5.73,NA,NA,NA,9.9,0.48,NA,NA,NA,5.93,0.33,NA,NA,NA,5.05,0.24,NA,NA,NA,4.12,0.75,NA,NA,NA,9.97,0.71,NA,NA,NA,Good,NA
"Guilloux, et al., 2020",2020,Biol J Linn Soc,Scincidae,Mochlus sundevallii,Mochlus sundevallii,NA,A,10,10,NA,9.83,6.55,NA,NA,NA,83.64,18.88,NA,NA,NA,12.4,2.4,NA,NA,NA,7.68,1.55,NA,NA,NA,6.2,1.19,NA,NA,NA,12.33,6.45,NA,NA,NA,12.64,2.29,NA,NA,NA,Good,NA
"Guilloux, et al., 2020",2020,Biol J Linn Soc,Scincidae,Pygomeles braconnieri,Pygomeles braconnieri,NA,A,6,1,NA,12.78,7.34,NA,NA,NA,109.67,37.11,NA,NA,NA,10.61,1.72,NA,NA,NA,6.25,1.44,NA,NA,NA,5.06,0.99,NA,NA,NA,9.36,NA,NA,NA,NA,9.4,1.98,NA,NA,NA,Bad,"Bad = no SD or SE with averages due to sample size of 1, can use in MAX BF analysis but not in analysis with SD or SE"
"Guilloux, et al., 2020",2020,Biol J Linn Soc,Scincidae,Scelotes bipes,Scelotes bipes,NA,A,12,11,NA,1.56,0.73,NA,NA,NA,74.56,10.67,NA,NA,NA,6.18,0.57,NA,NA,NA,3.22,0.58,NA,NA,NA,2.62,0.42,NA,NA,NA,1.33,0.7,NA,NA,NA,5.46,0.58,NA,NA,NA,Good,NA
"Guilloux, et al., 2020",2020,Biol J Linn Soc,Scincidae,Scelotes montispectus,Scelotes montispectus,NA,A,1,1,NA,1,NA,NA,NA,NA,61.58,NA,NA,NA,NA,6.81,NA,NA,NA,NA,3.32,NA,NA,NA,NA,2.83,NA,NA,NA,NA,1.27,NA,NA,NA,NA,6.4,NA,NA,NA,NA,Bad,"Bad = no SD or SE with averages due to sample size of 1, can use in MAX BF analysis but not in analysis with SD or SE"
"Guilloux, et al., 2020",2020,Biol J Linn Soc,Scincidae,Scincus scincus,Scincus scincus,NA,A,5,5,NA,18.75,3.96,NA,NA,NA,92.2,3.04,NA,NA,NA,18.76,0.72,NA,NA,NA,10.65,0.75,NA,NA,NA,9.92,0.88,NA,NA,NA,18.39,3.59,NA,NA,NA,18.44,1.47,NA,NA,NA,Good,NA
"Guilloux, et al., 2020",2020,Biol J Linn Soc,Scincidae,Typhlosaurus caecus,Typhlosaurus caecus,NA,A,32,32,NA,3.42,1.48,NA,NA,NA,171.3,34.42,NA,NA,NA,6.7,0.8,NA,NA,NA,3.39,0.54,NA,NA,NA,1.98,0.27,NA,NA,NA,3.01,1.6,NA,NA,NA,4.67,0.77,NA,NA,NA,Good,NA
"Guilloux, et al., 2020",2020,Biol J Linn Soc,Scincidae,Typhlosaurus lomiae,Typhlosaurus lomiae,NA,A,9,9,NA,0.92,0.19,NA,NA,NA,106.33,10.49,NA,NA,NA,5.52,0.29,NA,NA,NA,2.6,0.09,NA,NA,NA,2.13,0.07,NA,NA,NA,0.45,0.12,NA,NA,NA,3.99,0.5,NA,NA,NA,Good,NA
"Guilloux, et al., 2020",2020,Biol J Linn Soc,Scincidae,Typhlosaurus vermis,Typhlosaurus vermis,NA,A,6,6,NA,2.68,1.09,NA,NA,NA,195.33,48.57,NA,NA,NA,6.76,0.99,NA,NA,NA,3.18,0.37,NA,NA,NA,2.67,0.33,NA,NA,NA,0.93,0.25,NA,NA,NA,5.4,0.86,NA,NA,NA,Good,NA
"Zagar, et al., 2017",2017,Func Ecol,Lacertidae,Iberolacerta horvathi,Iberolacerta horvathi,M,A,26,26,Metal,NA,NA,NA,NA,NA,54.3,3.35,NA,45.9,61.6,19.28,1.18,NA,17.2,21.3,7.62,0.4,NA,6.9,8.6,4.92,0.34,NA,4.2,5.6,1.54,0.37,NA,1.045,2.489,NA,NA,NA,NA,NA,Good,"Data available for P.muralis but did not use as had higher max BF for P.muralis from other studies. Raw morph and BF data available from Dryad, data was split by sex and I calculated avg, SD, min and max for BF and available head measurements. Cross-referenced sample sizes against paper. "
"Zagar, et al., 2017",2017,Func Ecol,Lacertidae,Iberolacerta horvathi,Iberolacerta horvathi,F,A,25,25,Metal,NA,NA,NA,NA,NA,59.28,4.02,NA,51.1,66.1,18.71,1.39,NA,15.1,20.6,7.35,0.39,NA,6.3,8.2,4.67,0.41,NA,3.6,5.6,0.9,0.24,NA,0.2755,1.3395,NA,NA,NA,NA,NA,Good,NA
"Vicenzi, et al., 2020",2020,J Exp Biol,Leiosauridae,Diplolaemus leopardinus,Diplolaemus leopardinus,NA,A,21,20,Metal,18.7,NA,1.34,NA,NA,79.69,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.5,3.32,NA,NA,NA,NA,NA,NA,NA,NA,Ok,"This paper had morph (SVL and BM) data available for M, F and M+F. I decided to use overall data for M+F(M=10,F=11) as the BFdata was only available for M+F. This paper collected data on different thermal accliamation treatements between 20-34 degrees celsius, I inferred max BFdata froMFigure 4B which was pre thermal acclimation treatments as this had the highest BFfor the species. Using a ruler I calculated that 3cMon the graph = 5 newtons. Therefore 1cM= 1.666 N. I estimated that BFto be approximately 16.5N + 3.32 (2cMon the graph). This was at a body temperature oF20 degrees celsius. The BFdata had a slightly smaller sample size, 1 less male). ""Ok data"" - had to derive BF and SD from graph"
"Handschuh, et al., 2020",2020,J Exp Biol,Scincidae,Ablepharus kitaibelii,Ablepharus kitaibelii,M,A,6,6,Cloth,1.03,0.1,NA,NA,NA,41.67,2.1,NA,NA,NA,6.68,0.47,NA,NA,NA,3.82,0.21,NA,NA,NA,2.7,0.19,NA,NA,NA,0.39,0.16,NA,NA,NA,5.94,0.77,NA,NA,NA,Good,"This paper measured head depth, I used it as a proxy for HH. Fig 5B has a plot oFthis species with other scincids (BF~ HW), but no raw BFor morph data provided for them. "
"Handschuh, et al., 2020",2020,J Exp Biol,Scincidae,Ablepharus kitaibelii,Ablepharus kitaibelii,F,A,5,5,Cloth,0.76,0.13,NA,NA,NA,41.75,1.34,NA,NA,NA,6.27,0.39,NA,NA,NA,3.45,0.23,NA,NA,NA,2.47,0.19,NA,NA,NA,0.21,0.04,NA,NA,NA,5.78,0.37,NA,NA,NA,Good,NA
"MacGregor, et al., 2016",2016,Func Ecol,Lacertidae,Podarcis muralis,Podarcis muralis,M,A,30,30,Metal,6.27,1.38,NA,4,8.75,62.1,4.06,NA,52,71,16.31,1.22,NA,13.68,19,7.96,0.66,NA,6.48,9,NA,NA,NA,NA,NA,7.6,2.96,NA,3.95,13.64,NA,NA,NA,NA,NA,Good,"This paper looked at P.muralis populations froMItaly and France. There was a higher max BFfor males froMthe Italian population, males and females froMFrance and females froMItaly had lower max BFthat recorded froMprevious studies so did not include data on them. Average morph and BFdata was available froMSupp info Table S1, however there was a slight discrepancy in avg BF, so I decided to calculate avg, sd and min and max using a link to the Dryad repository which contained raw morph and BFdata and indicated that max BFfor P.muralis males was 13.64 froMthe Italian population. Substrate category (metal) was inferred froMsupp info methods too. Sample size was inferred froMraw excel data (rows)."
"Massetti, et al., 2017",2017,Biol J Linn Soc,Phyllodactylidae,Tarentola mauritanica,Tarentola mauritanica,M,A,12,12,Tape,NA,NA,NA,NA,NA,68.11,1.76,NA,59.97,77.13,19.72,0.43,NA,16.99,21.93,16.3,0.44,NA,13.78,18.6,8.77,0.26,NA,7.44,10.16,4.05,0.32,NA,2.08,5.48,NA,NA,NA,NA,NA,Good,"This paper looked at sexual dimorphism in two populations of T.mauritanica. Female data was froMthe Palacio De Donana population, and male data was froMthe Matalascanas population as these had the max BFfor this species. Substrate category was inferred in text as well as sample sizes."
"Massetti, et al., 2017",2017,Biol J Linn Soc,Phyllodactylidae,Tarentola mauritanica,Tarentola mauritanica,F,A,18,18,Tape,NA,NA,NA,NA,NA,60.27,1.17,NA,52.19,66.86,17.61,0.33,NA,15.44,19.75,14.25,0.24,NA,12.81,15.79,7.94,0.17,NA,6.79,8.89,2.39,0.14,NA,1.37,3.23,NA,NA,NA,NA,NA,Good,NA
"Broeckhoven, et al., 2017",2017,Biol J Linn Soc,Cordylidae,Hemicordylus capensis,Hemicordylus capensis,M,A,10,10,Leather,NA,NA,NA,NA,NA,95.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.61,6.38,NA,NA,NA,NA,NA,NA,NA,NA,Remove,"There was BFdata available for the two localities studied (North/South population), max BF was from the Southern males (n = 10, BF= 46.61 + 6.38), however there was no morph data available other than that the average SVL for the southern population was 95.17 (no SD or SE provided). I input max BFfor southern males, but could average across males and females to match up with SVL which is average for males and females. ""Remove"" - dodgy data"
"Huyghe, et al., 2007b",2007,Integr Comp Biol,Lacertidae,Podarcis melisellensis,Podarcis melisellensis,M,A,148,64,Metal,5.31,NA,0.16,NA,NA,64.67,NA,0.23,NA,NA,15.13,NA,0.05,NA,NA,9.04,NA,0.05,NA,NA,7.2,NA,0.05,NA,NA,13.98,NA,0.34,NA,NA,16.19,NA,0.07,NA,NA,Bad,"Found this paper froMpeerJ paper looking at tooth placement and BF, added this data for male P.melisselensis as was higher than previous studies I looked at, no data for females. This data was froMthe orange morph."
"McBrayer & White, 2002",2002,Copeia,Teiidae,Tupinambis teguixin,Tupinambis teguixin,M,A,3,3,Metal,NA,NA,NA,NA,NA,317.33,4.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.33,15.56,NA,22,105,NA,NA,NA,NA,NA,Good,"This paper was formerly data deficient, but was listed in the peerJ paper as having available BFdata. After rechecking it, I realised I could average the BFand SVL (M= 3, F= 2). I have average BFand MAX BFdata available. No other head morph measurements available."
"McBrayer & White, 2002",2002,Copeia,Teiidae,Tupinambis teguixin,Tupinambis teguixin,F,A,2,2,Metal,NA,NA,NA,NA,NA,305,12.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,5.66,NA,14,90,NA,NA,NA,NA,NA,Good,NA
"Fabre, et al., 2014",2014,Evol Biol,Teiidae,Tupinambis merianae,Salvator merianae,M,A,10,10,Metal,NA,NA,NA,NA,NA,376.7,42.4,NA,270,425,81.75,10.88,NA,61.2,99.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409.39,93.24,NA,240.29,534.24,NA,NA,NA,NA,NA,Good,"This paper was in the peerJ lit review dataset. Data was available for individual lizards (M= 10, F= 9). I averaged SVL, HL and BFacross males and females and calculated SD. I also input max/min BFfor males and females which was very high (M=534, F=312)."
"Fabre, et al., 2014",2014,Evol Biol,Teiidae,Tupinambis merianae,Salvator merianae,F,A,9,9,Metal,NA,NA,NA,NA,NA,325,18.83,NA,297,348,65.36,3.21,NA,61.46,70.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243.15,44.38,NA,184.41,312.94,NA,NA,NA,NA,NA,Good,NA
